OrderNo,ItemNo,Quantity
D0012,P1672,24
D0012,P1839,24
D0013,P0343,24
D0013,P0379,12
D0013,P0411,4
D0013,P0412,12
D0013,P0449,24
D0013,P0533,12
D0013,P0535,12
D0013,P0566,4
D0013,P0754,12
D0013,P0759,24
D0013,P0760,12
D0013,P0762,12
D0013,P0850,12
D0013,P0879,6
D0013,P0880,6
D0013,P0905,10
D0013,P0920,6
D0013,P0922,4
D0013,P1020,2
D0013,P1096,12
D0013,P1097,24
D0013,P1098,12
D0013,P1099,12
D0013,P1105,24
D0013,P1628,2
D0013,P1654,6
D0013,P1660,12
D0013,P1755,12
D0013,P1940,1
D0014,P0003,16
D0014,P0229,12
D0014,P0253,3
D0014,P0255,3
D0014,P0283,6
D0014,P0319,6
D0014,P0338,12
D0014,P0343,24
D0014,P0344,12
D0014,P0516,12
D0014,P0539,6
D0014,P0548,2
D0014,P0549,4
D0014,P0705,24
D0014,P0707,4
D0014,P0728,6
D0014,P0948,4
D0014,P0949,4
D0014,P0964,2
D0014,P0971,12
D0014,P1056,6
D0014,P1058,12
D0014,P1059,12
D0014,P1060,12
D0014,P1061,12
D0014,P1062,12
D0014,P1063,12
D0014,P1070,1
D0014,P1096,6
D0014,P1097,12
D0014,P1098,12
D0014,P1099,12
D0014,P1102,12
D0014,P1105,24
D0014,P1610,12
D0014,P1612,12
D0014,P1654,6
D0014,P1776,12
D0014,P1940,1
D0015,P0491,12
D0015,P0536,12
D0015,P0539,6
D0015,P0563,8
D0015,P0707,2
D0015,P0811,24
D0015,P0814,4
D0015,P0815,4
D0015,P1608,2
D0015,P1635,6
D0015,P1636,6
D0015,P1638,8
D0015,P1639,8
D0015,P1795,24
D0015,P1813,4
D0015,P1818,12
D0015,P1820,12
D0015,P1940,1
D0016,P0069,24
D0016,P0070,18
D0016,P0071,18
D0016,P0097,6
D0016,P0125,6
D0016,P0191,48
D0016,P0209,2
D0016,P0211,2
D0016,P0259,8
D0016,P0362,6
D0016,P0515,9
D0016,P0548,2
D0016,P0550,2
D0016,P0570,24
D0016,P0571,12
D0016,P0617,4
D0016,P0707,10
D0016,P0873,10
D0016,P0875,3
D0016,P0880,6
D0016,P0920,3
D0016,P1009,8
D0016,P1020,3
D0016,P1096,6
D0016,P1101,6
D0016,P1827,2
D0016,P1834,10
D0016,P1839,24
D0017,P0379,12
D0017,P0411,8
D0017,P0415,12
D0017,P0427,4
D0017,P0491,12
D0017,P0531,3
D0017,P0800,4
D0017,P0847,3
D0017,P0848,4
D0017,P0849,12
D0017,P0850,12
D0017,P0852,3
D0017,P1096,6
D0017,P1097,12
D0017,P1940,1
D0018,P0036,6
D0018,P0124,6
D0018,P0322,6
D0018,P0509,6
D0018,P0753,12
D0018,P0962,8
D0018,P1034,8
D0018,P1629,12
D0018,P1633,6
D0018,P1750,6
D0018,P1768,4
D0018,P1769,4
D0018,P1940,1
D0019,P0572,1
D0019,P0574,1
D0020,P0035,12
D0020,P0235,24
D0020,P0516,8
D0020,P0810,24
D0020,P1571,6
D0020,P1825,20
D0020,P1858,24
D0020,P1940,1
D0021,P0357,32
D0021,P0359,48
D0021,P0531,24
D0021,P0612,48
D0021,P0708,8
D0021,P0709,16
D0021,P0710,16
D0021,P0711,36
D0021,P0714,16
D0021,P0815,32
D0021,P0880,48
D0021,P0920,48
D0021,P0922,24
D0021,P0943,48
D0022,P0085,6
D0022,P0275,6
D0022,P0708,1
D0022,P0768,2
D0022,P0920,3
D0022,P0922,4
D0022,P0981,2
D0022,P1013,2
D0022,P1014,2
D0022,P1015,2
D0022,P1016,2
D0022,P1020,2
D0022,P1790,6
D0022,P1839,6
D0022,P1940,1
D0023,P0014,24
D0023,P0016,25
D0023,P0021,5
D0023,P0060,10
D0023,P0063,10
D0023,P0102,10
D0023,P0227,8
D0023,P0231,4
D0023,P0235,12
D0023,P0293,12
D0023,P0295,12
D0023,P0296,12
D0023,P0461,12
D0023,P0463,12
D0023,P0466,12
D0023,P0474,25
D0023,P0546,2
D0023,P0557,12
D0023,P0581,6
D0023,P0630,6
D0023,P0661,6
D0023,P0662,6
D0023,P0665,10
D0023,P0706,12
D0023,P0774,2
D0023,P0803,12
D0023,P0804,12
D0023,P0877,10
D0023,P0916,12
D0023,P0917,12
D0023,P0939,48
D0023,P0940,48
D0023,P0952,12
D0023,P0957,12
D0023,P0958,12
D0023,P0962,8
D0023,P0963,4
D0023,P1051,12
D0023,P1077,6
D0023,P1104,4
D0023,P1116,12
D0023,P1117,12
D0023,P1118,25
D0023,P1119,25
D0023,P1609,2
D0023,P1673,6
D0023,P1678,12
D0023,P1686,12
D0023,P1790,6
D0023,P1791,24
D0023,P1878,3
D0024,P0037,6
D0024,P0089,16
D0024,P0120,6
D0024,P0382,12
D0024,P0446,12
D0024,P0487,6
D0024,P0549,4
D0024,P0617,4
D0024,P0758,12
D0024,P0768,2
D0024,P0920,3
D0024,P0982,2
D0024,P1101,6
D0024,P1575,6
D0024,P1598,6
D0024,P1681,4
D0024,P1733,6
D0024,P1734,25
D0024,P1743,8
D0024,P1812,8
D0024,P1940,1
D0025,P0017,25
D0025,P0040,12
D0025,P0042,12
D0025,P0062,10
D0025,P0116,12
D0025,P0174,12
D0025,P0181,12
D0025,P0201,24
D0025,P0209,2
D0025,P0211,2
D0025,P0255,3
D0025,P0280,6
D0025,P0311,6
D0025,P0330,6
D0025,P0362,12
D0025,P0430,12
D0025,P0474,25
D0025,P0528,12
D0025,P0529,12
D0025,P0530,6
D0025,P0576,12
D0025,P0579,12
D0025,P0674,4
D0025,P0676,4
D0025,P0683,10
D0025,P0703,6
D0025,P0704,24
D0025,P0715,6
D0025,P0717,6
D0025,P0757,4
D0025,P0766,4
D0025,P0773,4
D0025,P0853,2
D0025,P0854,2
D0025,P1602,2
D0025,P1603,2
D0025,P1609,2
D0025,P1703,16
D0025,P1732,48
D0025,P1795,24
D0025,P1814,12
D0025,P1815,12
D0025,P1834,10
D0025,P1839,6
D0025,P1861,6
D0026,P0411,4
D0027,P0201,12
D0027,P0299,2
D0027,P0302,6
D0027,P0305,6
D0027,P0307,3
D0027,P0321,6
D0027,P0323,6
D0027,P0362,6
D0027,P0373,1
D0027,P0396,24
D0027,P0400,12
D0027,P0429,12
D0027,P0478,8
D0027,P0481,2
D0027,P0488,8
D0027,P0520,3
D0027,P0548,2
D0027,P0550,2
D0027,P0642,6
D0027,P0743,12
D0027,P0757,1
D0027,P0807,12
D0027,P0868,12
D0027,P0882,5
D0027,P0883,5
D0027,P0904,2
D0027,P0905,2
D0027,P0920,3
D0027,P0958,12
D0027,P0959,1
D0027,P0989,6
D0027,P1568,8
D0027,P1570,2
D0027,P1605,2
D0027,P1606,2
D0027,P1607,2
D0027,P1689,8
D0027,P1776,12
D0027,P1827,2
D0027,P1839,32
D0028,P0532,3
D0028,P0539,6
D0028,P0610,6
D0028,P0827,12
D0028,P0834,12
D0028,P0849,12
D0028,P0983,1
D0028,P1722,6
D0028,P1731,6
D0028,P1757,2
D0028,P1827,2
D0028,P1838,6
D0028,P1940,1
D0029,P0057,10
D0029,P0058,10
D0029,P0059,10
D0029,P0061,10
D0029,P0062,10
D0029,P0063,10
D0029,P0064,10
D0029,P0065,10
D0029,P0084,12
D0029,P0088,12
D0029,P0126,6
D0029,P0141,12
D0029,P0167,8
D0029,P0189,12
D0029,P0264,12
D0029,P0265,12
D0029,P0282,4
D0029,P0283,12
D0029,P0358,24
D0029,P0375,4
D0029,P0568,12
D0029,P0569,12
D0029,P0601,24
D0029,P0602,24
D0029,P0673,8
D0029,P0683,10
D0029,P0684,10
D0029,P0707,16
D0029,P0812,12
D0029,P0868,12
D0029,P0870,8
D0029,P0876,10
D0029,P0877,10
D0029,P0879,6
D0029,P0880,6
D0029,P0881,6
D0029,P0884,12
D0029,P0887,12
D0029,P0889,12
D0029,P0890,10
D0029,P0891,10
D0029,P0892,10
D0029,P0893,10
D0029,P0894,10
D0029,P0895,10
D0029,P0896,10
D0029,P0897,10
D0029,P0898,10
D0029,P0899,10
D0029,P0900,24
D0029,P0920,3
D0029,P0922,4
D0029,P0923,4
D0029,P0951,4
D0029,P0972,12
D0029,P0981,6
D0029,P0985,4
D0029,P1005,4
D0029,P1009,12
D0029,P1023,12
D0029,P1040,12
D0029,P1046,8
D0029,P1050,12
D0029,P1067,4
D0029,P1068,4
D0029,P1074,12
D0029,P1092,24
D0029,P1093,24
D0029,P1094,48
D0029,P1097,24
D0029,P1105,12
D0029,P1697,6
D0029,P1792,12
D0029,P1834,10
D0029,P1836,10
D0030,P0007,12
D0030,P0042,12
D0030,P0057,12
D0030,P0058,11
D0030,P0062,12
D0030,P0155,48
D0030,P0191,72
D0030,P0211,4
D0030,P0232,4
D0030,P0370,9
D0030,P0381,8
D0030,P0397,25
D0030,P0437,10
D0030,P0450,36
D0030,P0454,36
D0030,P0497,9
D0030,P0639,24
D0030,P0701,12
D0030,P0770,6
D0030,P0812,9
D0030,P0859,9
D0030,P0925,9
D0030,P0929,9
D0030,P1101,12
D0030,P1116,48
D0030,P1589,9
D0030,P1687,12
D0030,P1734,25
D0030,P1745,4
D0030,P1747,3
D0030,P1748,2
D0030,P1763,24
D0030,P1852,12
D0030,P1853,12
D0030,P1854,1
D0030,P1940,1
D0031,P0007,2
D0031,P0008,2
D0031,P0087,6
D0031,P0088,4
D0031,P0168,2
D0031,P0169,2
D0031,P0171,4
D0031,P0172,4
D0031,P0174,2
D0031,P0176,2
D0031,P0180,4
D0031,P0242,6
D0031,P0263,4
D0031,P0264,6
D0031,P0265,5
D0031,P0270,4
D0031,P0271,4
D0031,P0275,2
D0031,P0281,2
D0031,P0283,2
D0031,P0358,4
D0031,P0425,2
D0031,P0435,2
D0031,P0489,4
D0031,P0491,4
D0031,P0492,10
D0031,P0501,3
D0031,P0502,3
D0031,P0506,2
D0031,P0515,2
D0031,P0516,2
D0031,P0518,2
D0031,P0551,3
D0031,P0580,2
D0031,P0636,2
D0031,P0640,1
D0031,P0646,2
D0031,P0686,2
D0031,P0692,4
D0031,P0693,4
D0031,P0696,4
D0031,P0701,2
D0031,P0702,2
D0031,P0703,2
D0031,P0731,2
D0031,P0732,2
D0031,P0733,4
D0031,P0734,4
D0031,P0735,4
D0031,P0812,4
D0031,P0858,2
D0031,P0859,2
D0031,P0860,2
D0031,P0878,2
D0031,P0881,3
D0031,P0920,2
D0031,P0943,4
D0031,P0944,2
D0031,P0945,2
D0031,P0947,2
D0031,P0951,2
D0031,P0969,12
D0031,P0970,24
D0031,P0993,4
D0031,P1009,2
D0031,P1030,6
D0031,P1032,6
D0031,P1054,1
D0031,P1055,2
D0031,P1056,2
D0031,P1071,4
D0031,P1073,4
D0031,P1074,4
D0031,P1088,24
D0031,P1092,4
D0031,P1093,4
D0031,P1094,3
D0031,P1103,2
D0031,P1610,12
D0031,P1611,12
D0031,P1612,12
D0031,P1659,2
D0031,P1660,4
D0031,P1661,5
D0031,P1662,6
D0031,P1669,2
D0031,P1685,2
D0031,P1686,2
D0031,P1687,2
D0031,P1689,3
D0031,P1692,1
D0031,P1735,1
D0031,P1736,1
D0031,P1738,2
D0031,P1741,16
D0031,P1757,1
D0031,P1803,2
D0031,P1815,4
D0031,P1818,4
D0031,P1820,4
D0031,P1821,4
D0031,P1822,4
D0031,P1826,1
D0031,P1834,2
D0031,P1836,2
D0031,P1864,12
D0031,P1865,36
D0031,P1869,12
D0031,P1870,5
D0032,P0372,18
D0032,P0769,24
D0032,P0909,24
D0032,P1011,16
D0032,P1012,16
D0032,P1015,24
D0032,P1016,24
D0032,P1034,48
D0032,P1103,48
D0033,P0163,8
D0033,P0371,3
D0033,P0711,3
D0033,P0713,8
D0033,P0714,4
D0033,P0737,6
D0033,P0743,12
D0033,P0744,6
D0033,P0989,6
D0033,P1779,6
D0033,P1791,12
D0033,P1823,6
D0033,P1839,6
D0033,P1940,1
D0034,P0244,12
D0034,P0272,6
D0034,P0273,6
D0034,P0565,2
D0034,P0588,12
D0034,P0589,12
D0034,P0617,2
D0034,P1656,2
D0034,P1871,6
D0034,P1940,1
D0035,P0179,12
D0035,P0275,12
D0035,P0337,4
D0035,P0340,36
D0035,P0352,12
D0035,P0379,12
D0035,P0402,12
D0035,P0404,12
D0035,P0414,12
D0035,P0417,6
D0035,P0431,24
D0035,P0449,24
D0035,P0531,6
D0035,P0538,12
D0035,P0548,2
D0035,P0707,2
D0035,P0713,4
D0035,P0752,12
D0035,P0754,12
D0035,P0762,12
D0035,P0771,4
D0035,P0772,4
D0035,P0800,4
D0035,P0812,12
D0035,P0873,10
D0035,P0879,12
D0035,P0880,6
D0035,P0922,4
D0035,P0925,4
D0035,P0982,2
D0035,P0987,4
D0035,P1022,4
D0035,P1050,24
D0035,P1096,6
D0035,P1097,12
D0035,P1111,6
D0035,P1607,10
D0035,P1645,12
D0035,P1654,6
D0035,P1658,6
D0035,P1686,12
D0035,P1756,12
D0035,P1839,6
D0036,P0425,12
D0036,P0809,24
D0036,P0982,2
D0036,P1823,12
D0037,P0362,32
D0037,P0629,36
D0037,P0630,36
D0037,P0707,16
D0037,P0853,12
D0037,P0854,12
D0037,P0989,32
D0037,P1013,12
D0037,P1014,12
D0037,P1015,12
D0037,P1016,12
D0037,P1019,4
D0037,P1570,8
D0037,P1839,32
D0038,P0291,12
D0038,P0336,6
D0038,P0379,12
D0038,P0430,12
D0038,P0466,12
D0038,P0507,12
D0038,P0555,12
D0038,P0759,24
D0038,P0761,36
D0038,P0805,12
D0038,P0849,12
D0038,P0925,4
D0038,P0928,4
D0038,P1019,2
D0038,P1102,12
D0038,P1305,25
D0038,P1674,48
D0038,P1823,6
D0038,P1940,1
D0039,P0007,3
D0039,P0292,12
D0039,P0296,12
D0039,P0379,12
D0039,P0415,12
D0039,P0451,24
D0039,P0464,12
D0039,P0465,12
D0039,P0563,4
D0039,P0570,12
D0039,P0603,12
D0039,P0604,12
D0039,P0683,10
D0039,P0736,3
D0039,P0743,12
D0039,P0761,36
D0039,P0768,2
D0039,P0801,12
D0039,P0807,12
D0039,P0810,12
D0039,P0842,2
D0039,P0846,24
D0039,P0849,12
D0039,P0858,12
D0039,P0859,12
D0039,P0877,10
D0039,P0880,6
D0039,P0916,12
D0039,P0920,3
D0039,P0925,4
D0039,P0945,6
D0039,P0947,6
D0039,P1013,2
D0039,P1014,2
D0039,P1096,6
D0039,P1097,12
D0039,P1103,6
D0039,P1105,12
D0039,P1106,12
D0039,P1107,12
D0039,P1108,12
D0039,P1110,12
D0039,P1120,6
D0039,P1121,4
D0039,P1607,2
D0039,P1608,2
D0039,P1614,4
D0039,P1674,48
D0039,P1685,12
D0039,P1686,12
D0039,P1687,12
D0039,P1763,16
D0039,P1777,12
D0039,P1791,12
D0039,P1836,10
D0039,P1839,6
D0040,P0063,10
D0040,P0065,10
D0040,P0434,10
D0040,P0450,24
D0040,P0480,12
D0040,P0482,6
D0040,P0501,6
D0040,P0502,6
D0040,P0560,12
D0040,P0679,5
D0040,P0736,6
D0040,P0758,12
D0040,P0807,12
D0040,P0812,12
D0040,P0853,2
D0040,P0854,2
D0040,P0922,4
D0040,P1023,12
D0040,P1026,4
D0040,P1045,8
D0040,P1050,12
D0040,P1079,2
D0040,P1096,12
D0040,P1097,12
D0040,P1111,6
D0040,P1112,12
D0040,P1113,12
D0040,P1121,8
D0040,P1686,12
D0040,P1940,1
D0041,P0372,18
D0041,P0769,48
D0041,P0926,30
D0041,P0927,30
D0041,P1012,16
D0041,P1015,24
D0041,P1016,12
D0041,P1034,48
D0041,P1650,36
D0042,P1130,36
D0042,P1131,36
D0042,P1132,36
D0043,P0572,1
D0043,P0574,1
D0044,P1941,1
D0045,P1941,1
D0046,P0100,10
D0046,P0101,10
D0046,P0148,9
D0046,P0211,4
D0046,P0259,4
D0046,P0299,2
D0046,P0302,6
D0046,P0305,6
D0046,P0307,3
D0046,P0309,6
D0046,P0339,12
D0046,P0343,12
D0046,P0344,12
D0046,P0414,12
D0046,P0486,6
D0046,P0532,3
D0046,P0556,1
D0046,P0610,6
D0046,P0611,6
D0046,P0636,6
D0046,P0736,3
D0046,P0756,2
D0046,P0834,12
D0046,P0880,6
D0046,P0948,4
D0046,P0949,4
D0046,P0967,12
D0046,P1023,12
D0046,P1039,3
D0046,P1686,12
D0046,P1940,1
D0047,P0037,12
D0047,P0038,6
D0047,P0087,6
D0047,P0106,12
D0047,P0130,12
D0047,P0134,12
D0047,P0151,10
D0047,P0153,3
D0047,P0206,6
D0047,P0207,6
D0047,P0239,6
D0047,P0379,12
D0047,P0381,4
D0047,P0491,12
D0047,P0523,12
D0047,P0524,12
D0047,P0525,12
D0047,P0603,12
D0047,P0604,12
D0047,P0605,12
D0047,P0657,12
D0047,P0771,4
D0047,P0852,3
D0047,P0853,2
D0047,P0906,24
D0047,P0993,6
D0047,P1100,6
D0047,P1101,6
D0047,P1102,12
D0047,P1594,3
D0047,P1595,3
D0047,P1599,6
D0047,P1600,6
D0047,P1685,12
D0047,P1686,12
D0047,P1687,12
D0047,P1804,6
D0047,P1808,6
D0047,P1824,6
D0048,P0055,10
D0048,P0056,20
D0048,P0194,2
D0048,P0226,12
D0048,P0237,3
D0048,P0255,3
D0048,P0281,6
D0048,P0355,8
D0048,P0491,12
D0048,P0493,10
D0048,P0564,2
D0048,P0566,2
D0048,P0708,1
D0048,P0711,3
D0048,P0875,3
D0048,P0962,8
D0048,P0963,2
D0048,P0964,2
D0048,P0978,12
D0048,P1024,4
D0048,P1025,6
D0048,P1096,6
D0048,P1541,3
D0048,P1707,2
D0048,P1725,3
D0048,P1726,2
D0048,P1733,6
D0048,P1739,2
D0048,P1940,1
D0049,P0050,10
D0049,P0298,10
D0049,P0493,10
D0049,P0537,12
D0049,P0595,12
D0049,P0618,12
D0049,P0644,12
D0049,P0821,12
D0049,P0837,12
D0049,P0872,12
D0049,P0874,10
D0049,P0875,3
D0049,P1029,12
D0049,P1030,6
D0049,P1031,12
D0049,P1032,12
D0049,P1033,12
D0049,P1094,6
D0049,P1097,12
D0049,P1103,6
D0049,P1112,24
D0049,P1122,24
D0049,P1130,12
D0049,P1131,12
D0049,P1132,12
D0049,P1153,2
D0049,P1156,2
D0049,P1158,2
D0049,P1213,4
D0049,P1214,4
D0049,P1258,8
D0049,P1259,8
D0049,P1273,8
D0049,P1274,8
D0049,P1303,25
D0049,P1556,5
D0049,P1603,10
D0049,P1607,10
D0049,P1677,48
D0049,P1756,12
D0049,P1789,12
D0049,P1865,12
D0049,P1866,24
D0049,P1870,6
D0049,P1871,12
D0050,P0007,6
D0050,P0008,6
D0050,P0049,6
D0050,P0059,20
D0050,P0239,12
D0050,P0370,9
D0050,P0422,12
D0050,P0425,12
D0050,P0527,12
D0050,P0605,24
D0050,P0663,12
D0050,P0666,20
D0050,P0701,10
D0050,P0722,10
D0050,P0962,16
D0050,P0989,12
D0050,P1265,12
D0050,P1634,18
D0050,P1635,18
D0050,P1636,18
D0050,P1658,12
D0050,P1711,8
D0050,P1734,25
D0050,P1839,18
D0051,P0412,12
D0051,P0564,6
D0051,P0566,6
D0051,P0668,6
D0051,P0670,6
D0051,P0810,12
D0051,P0851,2
D0051,P0853,4
D0051,P0854,4
D0051,P0880,24
D0051,P0911,24
D0051,P0920,24
D0051,P0922,24
D0051,P1002,6
D0051,P1019,1
D0051,P1022,4
D0051,P1054,6
D0051,P1055,6
D0051,P1056,6
D0051,P1066,2
D0051,P1067,2
D0051,P1068,2
D0051,P1069,2
D0051,P1096,12
D0051,P1097,24
D0051,P1101,12
D0052,P0010,24
D0052,P0024,30
D0052,P0118,24
D0052,P0197,10
D0052,P0198,10
D0052,P0260,12
D0052,P0292,12
D0052,P0293,12
D0052,P0308,12
D0052,P0345,12
D0052,P0346,12
D0052,P0347,12
D0052,P0538,6
D0052,P0576,12
D0052,P0577,12
D0052,P0578,12
D0052,P0588,12
D0052,P0593,12
D0052,P0607,12
D0052,P0762,12
D0052,P0810,12
D0052,P1106,12
D0052,P1685,12
D0052,P1940,1
D0053,P0025,6
D0053,P0067,2
D0053,P0071,6
D0053,P0255,3
D0053,P0259,8
D0053,P0276,12
D0053,P0313,6
D0053,P0379,12
D0053,P0380,12
D0053,P0424,2
D0053,P0515,3
D0053,P0531,3
D0053,P0564,2
D0053,P0567,2
D0053,P0616,2
D0053,P0617,2
D0053,P0675,4
D0053,P0681,5
D0053,P0682,5
D0053,P0767,4
D0053,P0805,12
D0053,P0847,6
D0053,P0852,3
D0053,P0862,2
D0053,P0863,2
D0053,P0920,3
D0053,P0963,2
D0053,P0983,1
D0053,P1041,2
D0053,P1043,6
D0053,P1097,12
D0053,P1102,12
D0053,P1258,8
D0053,P1260,6
D0053,P1261,6
D0053,P1264,6
D0053,P1569,12
D0053,P1582,6
D0053,P1645,12
D0053,P1648,24
D0053,P1651,12
D0053,P1653,2
D0053,P1721,1
D0053,P1823,6
D0054,P0151,10
D0054,P0379,12
D0054,P0669,6
D0054,P0755,6
D0054,P0799,12
D0054,P0800,4
D0054,P1009,4
D0054,P1711,4
D0054,P1776,12
D0054,P1837,2
D0054,P1940,1
D0055,P0066,10
D0055,P0067,4
D0055,P0068,4
D0055,P0531,3
D0055,P0813,12
D0055,P0814,12
D0055,P0815,12
D0055,P0962,8
D0055,P1635,6
D0055,P1636,6
D0055,P1639,4
D0055,P1658,6
D0055,P1765,2
D0055,P1818,12
D0055,P1819,12
D0055,P1940,1
D0056,P0140,12
D0056,P0141,12
D0056,P0143,12
D0056,P0146,12
D0056,P0155,24
D0056,P0158,24
D0056,P0191,24
D0056,P0239,6
D0056,P0240,12
D0056,P0379,12
D0056,P0398,12
D0056,P0399,3
D0056,P0432,2
D0056,P0570,12
D0056,P0595,12
D0056,P0615,2
D0056,P0618,12
D0056,P0718,8
D0056,P0719,12
D0056,P0721,20
D0056,P0723,24
D0056,P0768,2
D0056,P0884,12
D0056,P0906,24
D0056,P0961,2
D0056,P1028,12
D0056,P1029,12
D0056,P1030,6
D0056,P1074,6
D0056,P1094,6
D0056,P1097,24
D0056,P1103,6
D0056,P1127,24
D0056,P1129,24
D0056,P1303,25
D0056,P1555,12
D0056,P1594,3
D0056,P1656,6
D0056,P1689,4
D0056,P1734,25
D0056,P1744,2
D0056,P1794,24
D0056,P1803,3
D0057,P0059,10
D0057,P0127,12
D0057,P0216,1
D0057,P0226,12
D0057,P0247,48
D0057,P0249,48
D0057,P0250,24
D0057,P0251,48
D0057,P0252,24
D0057,P0363,2
D0057,P0540,24
D0057,P0547,2
D0057,P0650,8
D0057,P0707,1
D0057,P0761,36
D0057,P0791,24
D0057,P0796,24
D0057,P0960,1
D0057,P1105,12
D0057,P1550,12
D0057,P1554,12
D0057,P1555,12
D0057,P1606,2
D0057,P1609,2
D0057,P1621,12
D0057,P1622,12
D0057,P1645,12
D0057,P1656,2
D0057,P1662,12
D0057,P1722,24
D0057,P1723,24
D0057,P1755,12
D0057,P1830,24
D0057,P1831,48
D0057,P1832,48
D0057,P1851,1
D0057,P1854,16
D0057,P1940,1
D0058,P0191,24
